lanskod;lan_namn;kommunkod;kommunnamn;tatortskod;tatort;area_ha;bef
22;Västernorrland;2280;Härnösand;T7740;Älandsbro;199;928
23;Jämtland;2305;Bräcke;T7816;Bräcke;203;1559
23;Jämtland;2326;Berg;T7976;Svenstavik;166;916
23;Jämtland;2326;Berg;T7878;Hoverberg;151;206
22;Västernorrland;2280;Härnösand;T7632;Ramvik;70;450
22;Västernorrland;2282;Kramfors;T7568;Lunde;130;365
23;Jämtland;2305;Bräcke;T7844;Gällö;119;757
22;Västernorrland;2282;Kramfors;T7488;Herrskog;66;211
23;Jämtland;2305;Bräcke;T7944;Pilgrimstad;78;402
22;Västernorrland;2282;Kramfors;T7564;Lugnvik;117;332
22;Västernorrland;2282;Kramfors;T7524;Kramfors;863;6582
22;Västernorrland;2282;Kramfors;T7604;Nordingrå;64;282
23;Jämtland;2305;Bräcke;T7896;Kälarne;140;435
23;Jämtland;2380;Östersund;T7830;Fåker;39;241
23;Jämtland;2326;Berg;T7912;Myrviken;101;295
23;Jämtland;2380;Östersund;T7984;Tandsbyn;140;453
23;Jämtland;2303;Ragunda;T7806;Östra Bispgården;125;249
22;Västernorrland;2282;Kramfors;T7432;Bollstabruk;514;1883
22;Västernorrland;2282;Kramfors;T7588;Mjällom;109;243
23;Jämtland;2303;Ragunda;T7808;Västra Bispgården;116;496
23;Jämtland;2380;Östersund;T7864;Hara;105;234
22;Västernorrland;2282;Kramfors;T7616;Nyland;183;892
22;Västernorrland;2282;Kramfors;T7636;Sandslån;142;313
22;Västernorrland;2282;Kramfors;T7680;Ullånger;186;768
23;Jämtland;2380;Östersund;T7906;Lunne;127;278
22;Västernorrland;2282;Kramfors;T7448;Docksta;113;401
23;Jämtland;2380;Östersund;T7938;Orrviken;73;289
23;Jämtland;2303;Ragunda;T7856;Hammarstrand;290;1116
23;Jämtland;2380;Östersund;T7910;Marieby;209;458
23;Jämtland;2380;Östersund;T8042;Ängsmon;53;1368
23;Jämtland;2380;Östersund;T7914;Målsta, Genvalla och Fillsta;69;207
