OBJECTID;AR;LANSKOD;AREA_HA;BEF;KOMMUNKOD;KOMMUNNAMN;TATORTSKOD;TATORT;LAN_NAMN
9787;2015;12;3957;104250;1283;Helsingborg;T3452;Helsingborg;Skåne
9788;2015;12;474;3989;1293;Hässleholm;T3160;Vinslöv;Skåne
9789;2015;12;69;202;1290;Kristianstad;T3354;Bjärlöv;Skåne
9790;2015;10;238;559;1080;Karlskrona;T2760;Torhamn;Blekinge
9791;2015;12;232;4545;1283;Helsingborg;T3456;Hittarp;Skåne
9792;2015;10;363;1606;1080;Karlskrona;T2640;Hasslö;Blekinge
9793;2015;12;1024;10602;1260;Bjuv;T3352;Bjuv;Skåne
9794;2015;10;677;1325;1080;Karlskrona;T2740;Sturkö;Blekinge
9795;2015;10;223;467;1080;Karlskrona;T2612;Drottningskär;Blekinge
9796;2015;12;171;2287;1277;Åstorp;T2928;Hyllinge;Skåne
9797;2015;12;125;1043;1293;Hässleholm;T3120;Tormestorp;Skåne
9798;2015;12;328;5231;1283;Helsingborg;T3820;Ödåkra;Skåne
9799;2015;12;52;206;1283;Helsingborg;T2870;Fleninge;Skåne
9800;2015;10;291;814;1083;Sölvesborg;T2708;Norje;Blekinge
9801;2015;12;48;313;1276;Klippan;T2968;Klippans bruk;Skåne
9802;2015;12;99;808;1277;Åstorp;T2810;Björnås;Skåne
9803;2015;12;49;625;1283;Helsingborg;T3384;Domsten;Skåne
9804;2015;12;96;722;1283;Helsingborg;T3304;Allerum;Skåne
9805;2015;12;183;1823;1277;Åstorp;T2984;Kvidinge;Skåne
9806;2015;12;166;1169;1293;Hässleholm;T3062;Sjörröd;Skåne
9807;2015;12;61;542;1283;Helsingborg;T3444;Hasslarp;Skåne
9808;2015;12;542;8411;1276;Klippan;T2964;Klippan;Skåne
9809;2015;12;576;5847;1275;Perstorp;T3036;Perstorp;Skåne
9810;2015;10;241;447;1081;Ronneby;T2682;Bökenäs, Korsanäs och Kuggeboda;Blekinge
9811;2015;12;69;732;1283;Helsingborg;T3516;Kattarp;Skåne
9812;2015;12;667;9215;1277;Åstorp;T3192;Åstorp;Skåne
9813;2015;10;116;343;1083;Sölvesborg;T2724;Pukavik;Blekinge
9814;2015;12;148;1385;1256;Östra Göinge;T2912;Hanaskog;Skåne
9815;2015;10;210;429;1081;Ronneby;T2746;Spjälkö och Saxemara;Blekinge
9816;2015;10;108;464;1080;Karlskrona;T2630;Gängletorp;Blekinge
9817;2015;12;433;4712;1293;Hässleholm;T3128;Tyringe;Skåne
9818;2015;12;156;815;1290;Kristianstad;T2800;Arkelstorp;Skåne
9819;2015;12;1322;19309;1293;Hässleholm;T2936;Hässleholm;Skåne
9820;2015;12;137;616;1293;Hässleholm;T2868;Finja;Skåne
9821;2015;12;295;4489;1284;Höganäs;T3784;Viken;Skåne
9822;2015;12;117;241;1290;Kristianstad;T3174;Vånga;Skåne
9823;2015;10;197;749;1081;Ronneby;T2734;Ronnebyhamn;Blekinge
9824;2015;10;180;355;1082;Karlshamn;T2750;Horsaryd och Stilleryd;Blekinge
9825;2015;12;98;729;1293;Hässleholm;T3096;Stoby;Skåne
9826;2015;12;244;1307;1272;Bromölla;T3024;Näsum;Skåne
9827;2015;10;76;277;1080;Karlskrona;T2728;Ramdala;Blekinge
9828;2015;10;161;784;1080;Karlskrona;T2738;Skavkulla och Skillingenäs;Blekinge
9829;2015;10;66;221;1080;Karlskrona;T2742;Sjuhalla;Blekinge
9830;2015;12;43;322;1284;Höganäs;T3612;Mjöhult;Skåne
9831;2015;12;143;1207;1292;Ängelholm;T3100;Strövelstorp;Skåne
9832;2015;10;210;966;1081;Ronneby;T2688;Listerby;Blekinge
9833;2015;12;297;3144;1256;Östra Göinge;T2972;Knislinge;Skåne
9834;2015;12;44;250;1284;Höganäs;T3508;Ingelsträde;Skåne
9835;2015;10;76;323;1082;Karlshamn;T2776;Åryd;Blekinge
9836;2015;10;298;2629;1080;Karlskrona;T2664;Jämjö;Blekinge
9837;2015;12;28;216;1256;Östra Göinge;T2920;Hjärsås;Skåne
